hlpi_name,year,hlpi,nzhec,nzhec_name,nzhec_short,level,weight,nzhec1,nzhec1_name,nzhec1_short,exp_pw,eqv_exp_pw
All households,2008,allhh,1,Food,Food,group,18,1,Food,Food,146.35,86.76
All households,2008,allhh,1.1,Fruit and vegetables,Fruit & veg,subgroup,2.6,1,Food,Food,21.14,12.53
All households,2008,allhh,1.2,"Meat, poultry and fish",Meat,subgroup,3.1,1,Food,Food,25.2,14.94
All households,2008,allhh,1.3,Grocery food,Grocery food,subgroup,7.4,1,Food,Food,60.16,35.67
All households,2008,allhh,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1.7,1,Food,Food,13.82,8.19
All households,2008,allhh,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,3.1,1,Food,Food,25.2,14.94
All households,2008,allhh,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,6,2,Alcoholic beverages and tobacco,Alcohol and tobacco,48.78,28.92
All households,2008,allhh,2.1,Alcoholic beverages,Alcohol,subgroup,3.7,2,Alcoholic beverages and tobacco,Alcohol and tobacco,30.08,17.83
All households,2008,allhh,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2.2,2,Alcoholic beverages and tobacco,Alcohol and tobacco,17.89,10.6
All households,2008,allhh,3,Clothing and footwear,Clothing and footwear,group,3.4,3,Clothing and footwear,Clothing and footwear,27.64,16.39
All households,2008,allhh,3.1,Clothing,Clothing,subgroup,2.7,3,Clothing and footwear,Clothing and footwear,21.95,13.01
All households,2008,allhh,3.2,Footwear,Footwear,subgroup,0.8,3,Clothing and footwear,Clothing and footwear,6.5,3.86
All households,2008,allhh,4,Housing and household utilities,Housing,group,19.9,4,Housing and household utilities,Housing,161.79,95.91
All households,2008,allhh,4.1,Actual rentals for housing,Rent,subgroup,9.4,4,Housing and household utilities,Housing,76.43,45.31
All households,2008,allhh,4.3,Property maintenance,Property maintenance,subgroup,1.8,4,Housing and household utilities,Housing,14.63,8.68
All households,2008,allhh,4.4,Property rates and related services,Property rates,subgroup,3.5,4,Housing and household utilities,Housing,28.46,16.87
All households,2008,allhh,4.5,Household energy,Household energy,subgroup,5.2,4,Housing and household utilities,Housing,42.28,25.06
All households,2008,allhh,5,Household contents and services,Contents and services,group,4.7,5,Household contents and services,Contents and services,38.21,22.65
All households,2008,allhh,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1.5,5,Household contents and services,Contents and services,12.2,7.23
All households,2008,allhh,5.2,Household textiles,Textiles,subgroup,0.4,5,Household contents and services,Contents and services,3.25,1.93
All households,2008,allhh,5.3,Household appliances,Appliances,subgroup,1.2,5,Household contents and services,Contents and services,9.76,5.78
All households,2008,allhh,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,0.2,5,Household contents and services,Contents and services,1.63,0.96
All households,2008,allhh,5.5,Tools and equipment for house and garden,Tools,subgroup,0.5,5,Household contents and services,Contents and services,4.07,2.41
All households,2008,allhh,5.6,Other household supplies and services,Other supplies and services,subgroup,0.9,5,Household contents and services,Contents and services,7.32,4.34
All households,2008,allhh,6,Health,Health,group,4.1,6,Health,Health,33.33,19.76
All households,2008,allhh,6.1,"Medical products, appliances and equipment",Medical products,subgroup,1,6,Health,Health,8.13,4.82
All households,2008,allhh,6.2,Out-patient services,Out-patient services,subgroup,2.7,6,Health,Health,21.95,13.01
All households,2008,allhh,6.3,Hospital services,Hospital services,subgroup,0.3,6,Health,Health,2.44,1.45
All households,2008,allhh,7,Transport,Transport,group,13.6,7,Transport,Transport,110.57,65.55
All households,2008,allhh,7.1,Purchase of vehicles,Vehicles,subgroup,2.1,7,Transport,Transport,17.07,10.12
All households,2008,allhh,7.2,Private transport supplies and services,Private transport supplies,subgroup,9,7,Transport,Transport,73.17,43.38
All households,2008,allhh,7.3,Passenger transport services,Passenger transport,subgroup,2.5,7,Transport,Transport,20.33,12.05
All households,2008,allhh,8,Communication,Communication,group,3.5,8,Communication,Communication,28.46,16.87
All households,2008,allhh,8.1,Postal services,Postal services,subgroup,0.2,8,Communication,Communication,1.63,0.96
All households,2008,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,0.2,8,Communication,Communication,1.63,0.96
All households,2008,allhh,8.3,Telecommunication services,Telecommunication services,subgroup,3.2,8,Communication,Communication,26.02,15.42
All households,2008,allhh,9,Recreation and culture,Recreation and culture,group,8.4,9,Recreation and culture,Recreation and culture,68.29,40.49
All households,2008,allhh,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1.5,9,Recreation and culture,Recreation and culture,12.2,7.23
All households,2008,allhh,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,0.2,9,Recreation and culture,Recreation and culture,1.63,0.96
All households,2008,allhh,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,1.9,9,Recreation and culture,Recreation and culture,15.45,9.16
All households,2008,allhh,9.4,Recreational and cultural services,Rec & cultural services,subgroup,2.3,9,Recreation and culture,Recreation and culture,18.7,11.09
All households,2008,allhh,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,1.3,9,Recreation and culture,Recreation and culture,10.57,6.27
All households,2008,allhh,9.6,Accommodation services,Accomodation,subgroup,0.5,9,Recreation and culture,Recreation and culture,4.07,2.41
All households,2008,allhh,9.7,Package holidays,Package holidays,subgroup,0.7,9,Recreation and culture,Recreation and culture,5.69,3.37
All households,2008,allhh,10,Education,Education,group,1.2,10,Education,Education,9.76,5.78
All households,2008,allhh,10.1,Early childhood education,Early childhood education,subgroup,0.2,10,Education,Education,1.63,0.96
All households,2008,allhh,10.2,Primary and secondary education,Primary/secondary education,subgroup,0.4,10,Education,Education,3.25,1.93
All households,2008,allhh,10.3,Tertiary and other post school education,Tertiary education,subgroup,0.6,10,Education,Education,4.88,2.89
All households,2008,allhh,10.4,Other educational fees,Other education,subgroup,0,10,Education,Education,0,0
All households,2008,allhh,11,Miscellaneous goods and services,Miscellaneous,group,9.7,11,Miscellaneous goods and services,Miscellaneous,78.86,46.75
All households,2008,allhh,11.1,Personal care,Personal care,subgroup,2.2,11,Miscellaneous goods and services,Miscellaneous,17.89,10.6
All households,2008,allhh,11.3,Personal effects,Personal effects,subgroup,0.4,11,Miscellaneous goods and services,Miscellaneous,3.25,1.93
All households,2008,allhh,11.4,Insurance,Insurance,subgroup,4.2,11,Miscellaneous goods and services,Miscellaneous,34.15,20.24
All households,2008,allhh,11.5,Credit services,Credit services,subgroup,0.5,11,Miscellaneous goods and services,Miscellaneous,4.07,2.41
All households,2008,allhh,11.6,Other miscellaneous services,Miscellaneous services,subgroup,2.4,11,Miscellaneous goods and services,Miscellaneous,19.51,11.57
All households,2008,allhh,13,Other expenditure,Interest,group,7.7,13,Other expenditure,Interest,62.6,37.11
All households,2008,allhh,13.1,Interest payments,Interest,subgroup,7.7,13,Other expenditure,Interest,62.6,37.11
All households,2011,allhh,1,Food,Food,group,19.2,1,Food,Food,169.74,100.65
All households,2011,allhh,1.1,Fruit and vegetables,Fruit & veg,subgroup,2.7,1,Food,Food,23.87,14.15
All households,2011,allhh,1.2,"Meat, poultry and fish",Meat,subgroup,3.2,1,Food,Food,28.29,16.78
All households,2011,allhh,1.3,Grocery food,Grocery food,subgroup,7.8,1,Food,Food,68.96,40.89
All households,2011,allhh,1.4,Non-alcoholic beverages,Soft drinks,subgroup,2,1,Food,Food,17.68,10.48
All households,2011,allhh,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,3.5,1,Food,Food,30.94,18.35
All households,2011,allhh,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,6.4,2,Alcoholic beverages and tobacco,Alcohol and tobacco,56.58,33.55
All households,2011,allhh,2.1,Alcoholic beverages,Alcohol,subgroup,4,2,Alcoholic beverages and tobacco,Alcohol and tobacco,35.36,20.97
All households,2011,allhh,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2.3,2,Alcoholic beverages and tobacco,Alcohol and tobacco,20.33,12.06
All households,2011,allhh,3,Clothing and footwear,Clothing and footwear,group,3.2,3,Clothing and footwear,Clothing and footwear,28.29,16.78
All households,2011,allhh,3.1,Clothing,Clothing,subgroup,2.6,3,Clothing and footwear,Clothing and footwear,22.99,13.63
All households,2011,allhh,3.2,Footwear,Footwear,subgroup,0.6,3,Clothing and footwear,Clothing and footwear,5.3,3.15
All households,2011,allhh,4,Housing and household utilities,Housing,group,21.6,4,Housing and household utilities,Housing,190.96,113.23
All households,2011,allhh,4.1,Actual rentals for housing,Rent,subgroup,10.7,4,Housing and household utilities,Housing,94.6,56.09
All households,2011,allhh,4.3,Property maintenance,Property maintenance,subgroup,1.9,4,Housing and household utilities,Housing,16.8,9.96
All households,2011,allhh,4.4,Property rates and related services,Property rates,subgroup,3.5,4,Housing and household utilities,Housing,30.94,18.35
All households,2011,allhh,4.5,Household energy,Household energy,subgroup,5.5,4,Housing and household utilities,Housing,48.62,28.83
All households,2011,allhh,5,Household contents and services,Contents and services,group,4,5,Household contents and services,Contents and services,35.36,20.97
All households,2011,allhh,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1.1,5,Household contents and services,Contents and services,9.72,5.77
All households,2011,allhh,5.2,Household textiles,Textiles,subgroup,0.3,5,Household contents and services,Contents and services,2.65,1.57
All households,2011,allhh,5.3,Household appliances,Appliances,subgroup,0.9,5,Household contents and services,Contents and services,7.96,4.72
All households,2011,allhh,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,0.2,5,Household contents and services,Contents and services,1.77,1.05
All households,2011,allhh,5.5,Tools and equipment for house and garden,Tools,subgroup,0.6,5,Household contents and services,Contents and services,5.3,3.15
All households,2011,allhh,5.6,Other household supplies and services,Other supplies and services,subgroup,0.8,5,Household contents and services,Contents and services,7.07,4.19
All households,2011,allhh,6,Health,Health,group,4.2,6,Health,Health,37.13,22.02
All households,2011,allhh,6.1,"Medical products, appliances and equipment",Medical products,subgroup,1,6,Health,Health,8.84,5.24
All households,2011,allhh,6.2,Out-patient services,Out-patient services,subgroup,2.9,6,Health,Health,25.64,15.2
All households,2011,allhh,6.3,Hospital services,Hospital services,subgroup,0.3,6,Health,Health,2.65,1.57
All households,2011,allhh,7,Transport,Transport,group,13.5,7,Transport,Transport,119.35,70.77
All households,2011,allhh,7.1,Purchase of vehicles,Vehicles,subgroup,2.2,7,Transport,Transport,19.45,11.53
All households,2011,allhh,7.2,Private transport supplies and services,Private transport supplies,subgroup,9,7,Transport,Transport,79.57,47.18
All households,2011,allhh,7.3,Passenger transport services,Passenger transport,subgroup,2.3,7,Transport,Transport,20.33,12.06
All households,2011,allhh,8,Communication,Communication,group,4,8,Communication,Communication,35.36,20.97
All households,2011,allhh,8.1,Postal services,Postal services,subgroup,0.2,8,Communication,Communication,1.77,1.05
All households,2011,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,0.2,8,Communication,Communication,1.77,1.05
All households,2011,allhh,8.3,Telecommunication services,Telecommunication services,subgroup,3.7,8,Communication,Communication,32.71,19.4
All households,2011,allhh,9,Recreation and culture,Recreation and culture,group,8.2,9,Recreation and culture,Recreation and culture,72.49,42.99
All households,2011,allhh,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1.4,9,Recreation and culture,Recreation and culture,12.38,7.34
All households,2011,allhh,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,0.1,9,Recreation and culture,Recreation and culture,0.88,0.52
All households,2011,allhh,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,1.9,9,Recreation and culture,Recreation and culture,16.8,9.96
All households,2011,allhh,9.4,Recreational and cultural services,Rec & cultural services,subgroup,2.3,9,Recreation and culture,Recreation and culture,20.33,12.06
All households,2011,allhh,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,1.2,9,Recreation and culture,Recreation and culture,10.61,6.29
All households,2011,allhh,9.6,Accommodation services,Accomodation,subgroup,0.4,9,Recreation and culture,Recreation and culture,3.54,2.1
All households,2011,allhh,9.7,Package holidays,Package holidays,subgroup,0.8,9,Recreation and culture,Recreation and culture,7.07,4.19
All households,2011,allhh,10,Education,Education,group,1.2,10,Education,Education,10.61,6.29
All households,2011,allhh,10.1,Early childhood education,Early childhood education,subgroup,0.3,10,Education,Education,2.65,1.57
All households,2011,allhh,10.2,Primary and secondary education,Primary/secondary education,subgroup,0.3,10,Education,Education,2.65,1.57
All households,2011,allhh,10.3,Tertiary and other post school education,Tertiary education,subgroup,0.6,10,Education,Education,5.3,3.15
All households,2011,allhh,10.4,Other educational fees,Other education,subgroup,0,10,Education,Education,0,0
All households,2011,allhh,11,Miscellaneous goods and services,Miscellaneous,group,7.9,11,Miscellaneous goods and services,Miscellaneous,69.84,41.41
All households,2011,allhh,11.1,Personal care,Personal care,subgroup,2.2,11,Miscellaneous goods and services,Miscellaneous,19.45,11.53
All households,2011,allhh,11.3,Personal effects,Personal effects,subgroup,0.4,11,Miscellaneous goods and services,Miscellaneous,3.54,2.1
All households,2011,allhh,11.4,Insurance,Insurance,subgroup,4.1,11,Miscellaneous goods and services,Miscellaneous,36.25,21.49
All households,2011,allhh,11.5,Credit services,Credit services,subgroup,0.5,11,Miscellaneous goods and services,Miscellaneous,4.42,2.62
All households,2011,allhh,11.6,Other miscellaneous services,Miscellaneous services,subgroup,0.7,11,Miscellaneous goods and services,Miscellaneous,6.19,3.67
All households,2011,allhh,13,Other expenditure,Interest,group,6.7,13,Other expenditure,Interest,59.23,35.12
All households,2011,allhh,13.1,Interest payments,Interest,subgroup,6.7,13,Other expenditure,Interest,59.23,35.12
All households,2014,allhh,1,Food,Food,group,18.6,1,Food,Food,175.97,105.88
All households,2014,allhh,1.1,Fruit and vegetables,Fruit & veg,subgroup,2.6,1,Food,Food,24.6,14.8
All households,2014,allhh,1.2,"Meat, poultry and fish",Meat,subgroup,3.1,1,Food,Food,29.33,17.65
All households,2014,allhh,1.3,Grocery food,Grocery food,subgroup,7.3,1,Food,Food,69.06,41.56
All households,2014,allhh,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1.9,1,Food,Food,17.98,10.82
All households,2014,allhh,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,3.7,1,Food,Food,35,21.06
All households,2014,allhh,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,6.4,2,Alcoholic beverages and tobacco,Alcohol and tobacco,60.55,36.43
All households,2014,allhh,2.1,Alcoholic beverages,Alcohol,subgroup,4,2,Alcoholic beverages and tobacco,Alcohol and tobacco,37.84,22.77
All households,2014,allhh,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2.4,2,Alcoholic beverages and tobacco,Alcohol and tobacco,22.71,13.66
All households,2014,allhh,3,Clothing and footwear,Clothing and footwear,group,3,3,Clothing and footwear,Clothing and footwear,28.38,17.08
All households,2014,allhh,3.1,Clothing,Clothing,subgroup,2.5,3,Clothing and footwear,Clothing and footwear,23.65,14.23
All households,2014,allhh,3.2,Footwear,Footwear,subgroup,0.5,3,Clothing and footwear,Clothing and footwear,4.73,2.85
All households,2014,allhh,4,Housing and household utilities,Housing,group,23,4,Housing and household utilities,Housing,217.59,130.93
All households,2014,allhh,4.1,Actual rentals for housing,Rent,subgroup,11.2,4,Housing and household utilities,Housing,105.96,63.76
All households,2014,allhh,4.3,Property maintenance,Property maintenance,subgroup,2.2,4,Housing and household utilities,Housing,20.81,12.52
All households,2014,allhh,4.4,Property rates and related services,Property rates,subgroup,4,4,Housing and household utilities,Housing,37.84,22.77
All households,2014,allhh,4.5,Household energy,Household energy,subgroup,5.6,4,Housing and household utilities,Housing,52.98,31.88
All households,2014,allhh,5,Household contents and services,Contents and services,group,4,5,Household contents and services,Contents and services,37.84,22.77
All households,2014,allhh,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1.2,5,Household contents and services,Contents and services,11.35,6.83
All households,2014,allhh,5.2,Household textiles,Textiles,subgroup,0.3,5,Household contents and services,Contents and services,2.84,1.71
All households,2014,allhh,5.3,Household appliances,Appliances,subgroup,0.8,5,Household contents and services,Contents and services,7.57,4.55
All households,2014,allhh,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,0.3,5,Household contents and services,Contents and services,2.84,1.71
All households,2014,allhh,5.5,Tools and equipment for house and garden,Tools,subgroup,0.5,5,Household contents and services,Contents and services,4.73,2.85
All households,2014,allhh,5.6,Other household supplies and services,Other supplies and services,subgroup,0.9,5,Household contents and services,Contents and services,8.51,5.12
All households,2014,allhh,6,Health,Health,group,3.4,6,Health,Health,32.17,19.35
All households,2014,allhh,6.1,"Medical products, appliances and equipment",Medical products,subgroup,1,6,Health,Health,9.46,5.69
All households,2014,allhh,6.2,Out-patient services,Out-patient services,subgroup,2.1,6,Health,Health,19.87,11.95
All households,2014,allhh,6.3,Hospital services,Hospital services,subgroup,0.2,6,Health,Health,1.89,1.14
All households,2014,allhh,7,Transport,Transport,group,13.2,7,Transport,Transport,124.88,75.14
All households,2014,allhh,7.1,Purchase of vehicles,Vehicles,subgroup,2.4,7,Transport,Transport,22.71,13.66
All households,2014,allhh,7.2,Private transport supplies and services,Private transport supplies,subgroup,8.6,7,Transport,Transport,81.36,48.96
All households,2014,allhh,7.3,Passenger transport services,Passenger transport,subgroup,2.1,7,Transport,Transport,19.87,11.95
All households,2014,allhh,8,Communication,Communication,group,4,8,Communication,Communication,37.84,22.77
All households,2014,allhh,8.1,Postal services,Postal services,subgroup,0.2,8,Communication,Communication,1.89,1.14
All households,2014,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,0.2,8,Communication,Communication,1.89,1.14
All households,2014,allhh,8.3,Telecommunication services,Telecommunication services,subgroup,3.6,8,Communication,Communication,34.06,20.49
All households,2014,allhh,9,Recreation and culture,Recreation and culture,group,8.1,9,Recreation and culture,Recreation and culture,76.63,46.11
All households,2014,allhh,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1,9,Recreation and culture,Recreation and culture,9.46,5.69
All households,2014,allhh,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,0.2,9,Recreation and culture,Recreation and culture,1.89,1.14
All households,2014,allhh,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,2,9,Recreation and culture,Recreation and culture,18.92,11.39
All households,2014,allhh,9.4,Recreational and cultural services,Rec & cultural services,subgroup,2.6,9,Recreation and culture,Recreation and culture,24.6,14.8
All households,2014,allhh,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,1.1,9,Recreation and culture,Recreation and culture,10.41,6.26
All households,2014,allhh,9.6,Accommodation services,Accomodation,subgroup,0.4,9,Recreation and culture,Recreation and culture,3.78,2.28
All households,2014,allhh,9.7,Package holidays,Package holidays,subgroup,0.9,9,Recreation and culture,Recreation and culture,8.51,5.12
All households,2014,allhh,10,Education,Education,group,1.3,10,Education,Education,12.3,7.4
